state,cost,id,n_schools,rank,value
WY,4646.0,56,1.0,161.0,31.0
WV,6960.0,54,1.0,168.0,29.0
PA,17502.0,42,3.0,62.0,56.0
VT,16226.0,50,1.0,85.0,49.0
UT,7159.5,49,2.0,161.5,32.0
WA,12411.0,53,2.0,93.0,48.5
AZ,10196.0,04,2.0,125.0,40.0
MD,9747.5,24,2.0,105.5,45.0
MA,12447.0,25,1.0,156.0,32.0
MI,13200.0,26,5.0,116.0,42.0
MN,13626.0,27,1.0,71.0,52.0
KS,9741.0,20,2.0,124.0,40.0
KY,10524.0,21,2.0,145.0,35.0
LA,8401.0,22,2.0,165.0,31.5
ME,10604.0,23,1.0,173.0,28.0
SD,7867.5,46,2.0,174.5,28.0
TN,11246.0,47,1.0,106.0,44.0
RI,12506.0,44,1.0,161.0,31.0
SC,12270.0,45,2.0,87.5,49.5
MS,6934.0,28,2.0,152.5,33.0
MO,9537.0,29,3.0,138.0,37.0
OK,7568.5,40,2.0,125.5,39.5
OR,9097.0,41,2.0,122.0,40.5
CT,12700.0,09,1.0,58.0,57.0
AR,8210.0,05,1.0,135.0,38.0
VA,12398.0,51,5.0,71.0,52.0
AL,9553.0,01,4.0,126.0,39.5
OH,10631.0,39,6.0,129.0,39.0
ND,7584.0,38,2.0,174.5,28.0
CA,13408.0,06,9.0,40.0,63.0
GA,11115.0,13,2.0,48.5,61.0
FL,6389.0,12,4.0,128.0,39.0
HI,10620.0,15,1.0,168.0,29.0
TX,9798.0,48,5.0,145.0,35.0
IL,13636.0,17,5.0,149.0,34.0
ID,6784.0,16,1.0,166.0,30.0
IA,7905.0,19,2.0,88.5,48.0
IN,9673.0,18,4.0,124.5,39.0
NE,8060.0,31,1.0,99.0,46.0
MT,6330.0,30,1.0,194.0,25.0
NC,7369.0,37,4.0,138.0,37.0
NY,8478.5,36,4.0,95.5,46.5
NM,6846.0,35,1.0,189.0,26.0
NJ,13813.0,34,3.0,126.0,40.0
NH,16552.0,33,1.0,99.0,46.0
WI,10410.0,55,1.0,47.0,61.0
NV,6415.0,32,1.0,194.0,25.0
CO,10789.0,08,3.0,88.0,48.0
AK,No Ranked Schools,02,No Ranked Schools,No Ranked Schools,No Ranked Schools
DE,No Ranked Schools,10,No Ranked Schools,No Ranked Schools,No Ranked Schools
